county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail,provisional,federal
Sussex,"Hopatcong Boro, District 10",U.S.House,7,REP,Thomas H. Kean Jr.,425,,,,,
Sussex,"Hopatcong Boro, District 10",U.S.House,7,GRN,Andrew Black,4,,,,,
Sussex,"Hopatcong Boro, District 10",U.S.House,7,LIB,Lana Leguia,12,,,,,
Sussex,"Hopatcong Boro, District 10",U.S.House,7,,Write-In Totals,1,,,,,
Sussex,"Hopatcong Boro, District 10",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,268,,,,,
Sussex,"Hopatcong Boro, District 10",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Hopatcong Boro, District 10",COUNTY COMMISSIONER,,REP,Christopher Carney,425,,,,,
Sussex,"Hopatcong Boro, District 10",COUNTY COMMISSIONER,,REP,Alan Henderson,335,,,,,
Sussex,"Hopatcong Boro, District 10",COUNTY COMMISSIONER,,,Write-In Totals,18,,,,,
Sussex,"Hopatcong Boro, District 10",BOROUGH COUNCIL Hopatcong Borough,,,No Nomination Made,0,,,,,
Sussex,"Hopatcong Boro, District 10",BOROUGH COUNCIL Hopatcong Borough,,,No Nomination Made,0,,,,,
Sussex,"Hopatcong Boro, District 10",BOROUGH COUNCIL Hopatcong Borough,,REP,"REP Esad ""Steve"" Kucevic",445,,,,,
Sussex,"Hopatcong Boro, District 10",BOROUGH COUNCIL Hopatcong Borough,,REP,Joseph Falconi,491,,,,,
Sussex,"Hopatcong Boro, District 10",BOROUGH COUNCIL Hopatcong Borough,,,Write-In Totals,56,,,,,
Sussex,"Hopatcong Boro, District 10",MEMBERSHIP TO BOE - Hopatcong Boro 3 YR,,,Jayson Cittrich,389,,,,,
Sussex,"Hopatcong Boro, District 10",MEMBERSHIP TO BOE - Hopatcong Boro 3 YR,,,Jennifer Polowchena,391,,,,,
Sussex,"Hopatcong Boro, District 10",MEMBERSHIP TO BOE - Hopatcong Boro 3 YR,,,Jayna Gulan,433,,,,,
Sussex,"Hopatcong Boro, District 10",MEMBERSHIP TO BOE - Hopatcong Boro 3 YR,,,Write-In Totals,26,,,,,
Sussex,"Hopatcong Boro, District 10",MEMBERSHIP TO BOE - Hopatcong Boro 1 YR,,,Krista Juskus,498,,,,,
Sussex,"Hopatcong Boro, District 10",MEMBERSHIP TO BOE - Hopatcong Boro 1 YR,,,Write-In Totals,13,,,,,
Sussex,"Hopatcong Boro, District 10",Bond Proposal Hopatcong Borough,,,Yes,486,,,,,
Sussex,"Hopatcong Boro, District 10",Bond Proposal Hopatcong Borough,,,No,214,,,,,
Sussex,"Hopatcong Boro, District 11",Registered Voters,,,,1016,,,,,
Sussex,"Hopatcong Boro, District 11",Ballots Cast,,,,680,168,407,99,5,1
Sussex,"Hopatcong Boro, District 11",President,,DEM,Kamala D. Harris,271,,,,,
Sussex,"Hopatcong Boro, District 11",President,,REP,Donald J. Trump,386,,,,,
Sussex,"Hopatcong Boro, District 11",President,,CST,Randall A. Terry,0,,,,,
Sussex,"Hopatcong Boro, District 11",President,,IND,Robert F. Kennedy Jr.,11,,,,,
Sussex,"Hopatcong Boro, District 11",President,,LIB,Chase Oliver,5,,,,,
Sussex,"Hopatcong Boro, District 11",President,,GRN,Jill Stein,2,,,,,
Sussex,"Hopatcong Boro, District 11",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Hopatcong Boro, District 11",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Hopatcong Boro, District 11",President,,,Joseph Kishore,0,,,,,
Sussex,"Hopatcong Boro, District 11",President,,,Write-In Totals,3,,,,,
Sussex,"Hopatcong Boro, District 11",U.S. Senate,,DEM,Andy Kim,264,,,,,
Sussex,"Hopatcong Boro, District 11",U.S. Senate,,REP,Curtis Bashaw,356,,,,,
Sussex,"Hopatcong Boro, District 11",U.S. Senate,,SWP,Joanne Kuniansky,6,,,,,
Sussex,"Hopatcong Boro, District 11",U.S. Senate,,GRN,Christina Khalil,7,,,,,
Sussex,"Hopatcong Boro, District 11",U.S. Senate,,,Patricia G. Mooneyham,5,,,,,
Sussex,"Hopatcong Boro, District 11",U.S. Senate,,LIB,Kenneth R. Kaplan,12,,,,,
Sussex,"Hopatcong Boro, District 11",U.S. Senate,,,Write-In Totals,1,,,,,
Sussex,"Hopatcong Boro, District 11",U.S.House,7,DEM,Sue Altman,254,,,,,
Sussex,"Hopatcong Boro, District 11",U.S.House,7,REP,Thomas H. Kean Jr.,347,,,,,
Sussex,"Hopatcong Boro, District 11",U.S.House,7,GRN,Andrew Black,12,,,,,
Sussex,"Hopatcong Boro, District 11",U.S.House,7,LIB,Lana Leguia,18,,,,,
Sussex,"Hopatcong Boro, District 11",U.S.House,7,,Write-In Totals,0,,,,,
Sussex,"Hopatcong Boro, District 11",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,273,,,,,
Sussex,"Hopatcong Boro, District 11",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Hopatcong Boro, District 11",COUNTY COMMISSIONER,,REP,Christopher Carney,377,,,,,
Sussex,"Hopatcong Boro, District 11",COUNTY COMMISSIONER,,REP,Alan Henderson,278,,,,,
Sussex,"Hopatcong Boro, District 11",COUNTY COMMISSIONER,,,Write-In Totals,11,,,,,
Sussex,"Hopatcong Boro, District 11",BOROUGH COUNCIL Hopatcong Borough,,,No Nomination Made,0,,,,,
Sussex,"Hopatcong Boro, District 11",BOROUGH COUNCIL Hopatcong Borough,,,No Nomination Made,0,,,,,
Sussex,"Hopatcong Boro, District 11",BOROUGH COUNCIL Hopatcong Borough,,REP,"REP Esad ""Steve"" Kucevic",394,,,,,
Sussex,"Hopatcong Boro, District 11",BOROUGH COUNCIL Hopatcong Borough,,REP,Joseph Falconi,421,,,,,
Sussex,"Hopatcong Boro, District 11",BOROUGH COUNCIL Hopatcong Borough,,,Write-In Totals,30,,,,,
Sussex,"Hopatcong Boro, District 11",MEMBERSHIP TO BOE - Hopatcong Boro 3 YR,,,Jayson Cittrich,350,,,,,
Sussex,"Hopatcong Boro, District 11",MEMBERSHIP TO BOE - Hopatcong Boro 3 YR,,,Jennifer Polowchena,382,,,,,
Sussex,"Hopatcong Boro, District 11",MEMBERSHIP TO BOE - Hopatcong Boro 3 YR,,,Jayna Gulan,400,,,,,
Sussex,"Hopatcong Boro, District 11",MEMBERSHIP TO BOE - Hopatcong Boro 3 YR,,,Write-In Totals,21,,,,,
Sussex,"Hopatcong Boro, District 11",MEMBERSHIP TO BOE - Hopatcong Boro 1 YR,,,Krista Juskus,460,,,,,
Sussex,"Hopatcong Boro, District 11",MEMBERSHIP TO BOE - Hopatcong Boro 1 YR,,,Write-In Totals,9,,,,,
Sussex,"Hopatcong Boro, District 11",Bond Proposal Hopatcong Borough,,,Yes,446,,,,,
Sussex,"Hopatcong Boro, District 11",Bond Proposal Hopatcong Borough,,,No,199,,,,,
Sussex,"Hopatcong Boro, District 12",Registered Voters,,,,676,,,,,
Sussex,"Hopatcong Boro, District 12",Ballots Cast,,,,460,164,236,54,6,0
Sussex,"Hopatcong Boro, District 12",President,,DEM,Kamala D. Harris,171,,,,,
Sussex,"Hopatcong Boro, District 12",President,,REP,Donald J. Trump,277,,,,,
Sussex,"Hopatcong Boro, District 12",President,,CST,Randall A. Terry,3,,,,,
Sussex,"Hopatcong Boro, District 12",President,,IND,Robert F. Kennedy Jr.,5,,,,,
Sussex,"Hopatcong Boro, District 12",President,,LIB,Chase Oliver,2,,,,,
Sussex,"Hopatcong Boro, District 12",President,,GRN,Jill Stein,0,,,,,
Sussex,"Hopatcong Boro, District 12",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Hopatcong Boro, District 12",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Hopatcong Boro, District 12",President,,,Joseph Kishore,0,,,,,
Sussex,"Hopatcong Boro, District 12",President,,,Write-In Totals,1,,,,,
Sussex,"Hopatcong Boro, District 12",U.S. Senate,,DEM,Andy Kim,166,,,,,
Sussex,"Hopatcong Boro, District 12",U.S. Senate,,REP,Curtis Bashaw,257,,,,,
Sussex,"Hopatcong Boro, District 12",U.S. Senate,,SWP,Joanne Kuniansky,2,,,,,
Sussex,"Hopatcong Boro, District 12",U.S. Senate,,GRN,Christina Khalil,1,,,,,
Sussex,"Hopatcong Boro, District 12",U.S. Senate,,,Patricia G. Mooneyham,4,,,,,
Sussex,"Hopatcong Boro, District 12",U.S. Senate,,LIB,Kenneth R. Kaplan,3,,,,,
Sussex,"Hopatcong Boro, District 12",U.S. Senate,,,Write-In Totals,2,,,,,
Sussex,"Hopatcong Boro, District 12",U.S.House,7,DEM,Sue Altman,154,,,,,
Sussex,"Hopatcong Boro, District 12",U.S.House,7,REP,Thomas H. Kean Jr.,259,,,,,
Sussex,"Hopatcong Boro, District 12",U.S.House,7,GRN,Andrew Black,5,,,,,
Sussex,"Hopatcong Boro, District 12",U.S.House,7,LIB,Lana Leguia,7,,,,,
Sussex,"Hopatcong Boro, District 12",U.S.House,7,,Write-In Totals,1,,,,,
Sussex,"Hopatcong Boro, District 12",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,163,,,,,
Sussex,"Hopatcong Boro, District 12",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Hopatcong Boro, District 12",COUNTY COMMISSIONER,,REP,Christopher Carney,265,,,,,
Sussex,"Hopatcong Boro, District 12",COUNTY COMMISSIONER,,REP,Alan Henderson,180,,,,,
Sussex,"Hopatcong Boro, District 12",COUNTY COMMISSIONER,,,Write-In Totals,7,,,,,
Sussex,"Hopatcong Boro, District 12",BOROUGH COUNCIL Hopatcong Borough,,,No Nomination Made,0,,,,,
Sussex,"Hopatcong Boro, District 12",BOROUGH COUNCIL Hopatcong Borough,,,No Nomination Made,0,,,,,
Sussex,"Hopatcong Boro, District 12",BOROUGH COUNCIL Hopatcong Borough,,REP,"REP Esad ""Steve"" Kucevic",254,,,,,
Sussex,"Hopatcong Boro, District 12",BOROUGH COUNCIL Hopatcong Borough,,REP,Joseph Falconi,289,,,,,
Sussex,"Hopatcong Boro, District 12",BOROUGH COUNCIL Hopatcong Borough,,,Write-In Totals,21,,,,,
Sussex,"Hopatcong Boro, District 12",MEMBERSHIP TO BOE - Hopatcong Boro 3 YR,,,Jayson Cittrich,219,,,,,
Sussex,"Hopatcong Boro, District 12",MEMBERSHIP TO BOE - Hopatcong Boro 3 YR,,,Jennifer Polowchena,253,,,,,
Sussex,"Hopatcong Boro, District 12",MEMBERSHIP TO BOE - Hopatcong Boro 3 YR,,,Jayna Gulan,260,,,,,
Sussex,"Hopatcong Boro, District 12",MEMBERSHIP TO BOE - Hopatcong Boro 3 YR,,,Write-In Totals,15,,,,,
Sussex,"Hopatcong Boro, District 12",MEMBERSHIP TO BOE - Hopatcong Boro 1 YR,,,Krista Juskus,316,,,,,
Sussex,"Hopatcong Boro, District 12",MEMBERSHIP TO BOE - Hopatcong Boro 1 YR,,,Write-In Totals,2,,,,,
Sussex,"Hopatcong Boro, District 12",Bond Proposal Hopatcong Borough,,,Yes,282,,,,,
Sussex,"Hopatcong Boro, District 12",Bond Proposal Hopatcong Borough,,,No,139,,,,,
Sussex,"Lafayette Twp, District 1",Registered Voters,,,,613,,,,,
Sussex,"Lafayette Twp, District 1",Ballots Cast,,,,478,151,259,64,4,0
Sussex,"Lafayette Twp, District 1",President,,DEM,Kamala D. Harris,135,,,,,
Sussex,"Lafayette Twp, District 1",President,,REP,Donald J. Trump,332,,,,,
Sussex,"Lafayette Twp, District 1",President,,CST,Randall A. Terry,1,,,,,
Sussex,"Lafayette Twp, District 1",President,,IND,Robert F. Kennedy Jr.,3,,,,,
Sussex,"Lafayette Twp, District 1",President,,LIB,Chase Oliver,3,,,,,
Sussex,"Lafayette Twp, District 1",President,,GRN,Jill Stein,0,,,,,
Sussex,"Lafayette Twp, District 1",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Lafayette Twp, District 1",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Lafayette Twp, District 1",President,,,Joseph Kishore,0,,,,,
Sussex,"Lafayette Twp, District 1",President,,,Write-In Totals,2,,,,,
Sussex,"Lafayette Twp, District 1",U.S. Senate,,DEM,Andy Kim,131,,,,,
Sussex,"Lafayette Twp, District 1",U.S. Senate,,REP,Curtis Bashaw,324,,,,,
Sussex,"Lafayette Twp, District 1",U.S. Senate,,SWP,Joanne Kuniansky,1,,,,,
Sussex,"Lafayette Twp, District 1",U.S. Senate,,GRN,Christina Khalil,2,,,,,
Sussex,"Lafayette Twp, District 1",U.S. Senate,,,Patricia G. Mooneyham,2,,,,,
Sussex,"Lafayette Twp, District 1",U.S. Senate,,LIB,Kenneth R. Kaplan,5,,,,,
Sussex,"Lafayette Twp, District 1",U.S. Senate,,,Write-In Totals,3,,,,,
Sussex,"Lafayette Twp, District 1",U.S.House,5,DEM,Josh Gottheimer,137,,,,,
Sussex,"Lafayette Twp, District 1",U.S.House,5,REP,Mary Jo Guinchard,319,,,,,
Sussex,"Lafayette Twp, District 1",U.S.House,5,GRN,Beau Forte,6,,,,,
Sussex,"Lafayette Twp, District 1",U.S.House,5,LIB,James Tosone,6,,,,,
Sussex,"Lafayette Twp, District 1",U.S.House,5,,Aamir Arif,1,,,,,
Sussex,"Lafayette Twp, District 1",U.S.House,5,,Write-In Totals,1,,,,,
Sussex,"Lafayette Twp, District 1",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,122,,,,,
Sussex,"Lafayette Twp, District 1",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Lafayette Twp, District 1",COUNTY COMMISSIONER,,REP,Christopher Carney,315,,,,,
Sussex,"Lafayette Twp, District 1",COUNTY COMMISSIONER,,REP,Alan Henderson,272,,,,,
Sussex,"Lafayette Twp, District 1",COUNTY COMMISSIONER,,,Write-In Totals,8,,,,,
Sussex,"Lafayette Twp, District 1",TOWNSHIP COMMITTEE Lafayette Township,,,No Nomination Made,0,,,,,
Sussex,"Lafayette Twp, District 1",TOWNSHIP COMMITTEE Lafayette Township,,REP,Kevin K. O'Leary,382,,,,,
Sussex,"Lafayette Twp, District 1",TOWNSHIP COMMITTEE Lafayette Township,,,Write-In Totals,14,,,,,
Sussex,"Lafayette Twp, District 1",MEMBERSHIP TO BOE - High Point Rgnl - Lafayette Twp,,,No Petition Filed,0,,,,,
Sussex,"Lafayette Twp, District 1",MEMBERSHIP TO BOE - High Point Rgnl - Lafayette Twp,,,Write-In Totals,16,,,,,
Sussex,"Lafayette Twp, District 1",MEMBERSHIP TO BOE - Lafayette Twp 3 YR,,,Andrew M. DeKorte,327,,,,,
Sussex,"Lafayette Twp, District 1",MEMBERSHIP TO BOE - Lafayette Twp 3 YR,,,Glenn B. Hawkswell,321,,,,,
Sussex,"Lafayette Twp, District 1",MEMBERSHIP TO BOE - Lafayette Twp 3 YR,,,Write-In Totals,7,,,,,
Sussex,"Lafayette Twp, District 1",MEMBERSHIP TO BOE - Lafayette Twp 2 YR,,,Suzanne Ross,355,,,,,
Sussex,"Lafayette Twp, District 1",MEMBERSHIP TO BOE - Lafayette Twp 2 YR,,,Write-In Totals,4,,,,,
Sussex,"Lafayette Twp, District 2",Registered Voters,,,,812,,,,,
Sussex,"Lafayette Twp, District 2",Ballots Cast,,,,584,162,360,58,4,0
Sussex,"Lafayette Twp, District 2",President,,DEM,Kamala D. Harris,166,,,,,
Sussex,"Lafayette Twp, District 2",President,,REP,Donald J. Trump,407,,,,,
Sussex,"Lafayette Twp, District 2",President,,CST,Randall A. Terry,1,,,,,
Sussex,"Lafayette Twp, District 2",President,,IND,Robert F. Kennedy Jr.,3,,,,,
Sussex,"Lafayette Twp, District 2",President,,LIB,Chase Oliver,3,,,,,
Sussex,"Lafayette Twp, District 2",President,,GRN,Jill Stein,3,,,,,
Sussex,"Lafayette Twp, District 2",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Lafayette Twp, District 2",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Lafayette Twp, District 2",President,,,Joseph Kishore,0,,,,,
Sussex,"Lafayette Twp, District 2",President,,,Write-In Totals,1,,,,,
Sussex,"Lafayette Twp, District 2",U.S. Senate,,DEM,Andy Kim,154,,,,,
Sussex,"Lafayette Twp, District 2",U.S. Senate,,REP,Curtis Bashaw,385,,,,,
Sussex,"Lafayette Twp, District 2",U.S. Senate,,SWP,Joanne Kuniansky,2,,,,,
Sussex,"Lafayette Twp, District 2",U.S. Senate,,GRN,Christina Khalil,4,,,,,
Sussex,"Lafayette Twp, District 2",U.S. Senate,,,Patricia G. Mooneyham,4,,,,,
Sussex,"Lafayette Twp, District 2",U.S. Senate,,LIB,Kenneth R. Kaplan,12,,,,,
Sussex,"Lafayette Twp, District 2",U.S. Senate,,,Write-In Totals,2,,,,,
Sussex,"Lafayette Twp, District 2",U.S.House,5,DEM,Josh Gottheimer,181,,,,,
Sussex,"Lafayette Twp, District 2",U.S.House,5,REP,Mary Jo Guinchard,369,,,,,
Sussex,"Lafayette Twp, District 2",U.S.House,5,GRN,Beau Forte,3,,,,,
Sussex,"Lafayette Twp, District 2",U.S.House,5,LIB,James Tosone,9,,,,,
Sussex,"Lafayette Twp, District 2",U.S.House,5,,Aamir Arif,2,,,,,
Sussex,"Lafayette Twp, District 2",U.S.House,5,,Write-In Totals,1,,,,,
Sussex,"Lafayette Twp, District 2",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,153,,,,,
Sussex,"Lafayette Twp, District 2",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Lafayette Twp, District 2",COUNTY COMMISSIONER,,REP,Christopher Carney,363,,,,,
Sussex,"Lafayette Twp, District 2",COUNTY COMMISSIONER,,REP,Alan Henderson,327,,,,,
Sussex,"Lafayette Twp, District 2",COUNTY COMMISSIONER,,,Write-In Totals,7,,,,,
Sussex,"Lafayette Twp, District 2",TOWNSHIP COMMITTEE Lafayette Township,,,No Nomination Made,0,,,,,
Sussex,"Lafayette Twp, District 2",TOWNSHIP COMMITTEE Lafayette Township,,REP,Kevin K. O'Leary,477,,,,,
Sussex,"Lafayette Twp, District 2",TOWNSHIP COMMITTEE Lafayette Township,,,Write-In Totals,10,,,,,
Sussex,"Lafayette Twp, District 2",MEMBERSHIP TO BOE - High Point Rgnl - Lafayette Twp,,,No Petition Filed,0,,,,,
Sussex,"Lafayette Twp, District 2",MEMBERSHIP TO BOE - High Point Rgnl - Lafayette Twp,,,Write-In Totals,37,,,,,
Sussex,"Lafayette Twp, District 2",MEMBERSHIP TO BOE - Lafayette Twp 3 YR,,,Andrew M. DeKorte,391,,,,,
Sussex,"Lafayette Twp, District 2",MEMBERSHIP TO BOE - Lafayette Twp 3 YR,,,Glenn B. Hawkswell,365,,,,,
Sussex,"Lafayette Twp, District 2",MEMBERSHIP TO BOE - Lafayette Twp 3 YR,,,Write-In Totals,3,,,,,
Sussex,"Lafayette Twp, District 2",MEMBERSHIP TO BOE - Lafayette Twp 2 YR,,,Suzanne Ross,419,,,,,
Sussex,"Lafayette Twp, District 2",MEMBERSHIP TO BOE - Lafayette Twp 2 YR,,,Write-In Totals,4,,,,,
Sussex,"Lafayette Twp, District 3",Registered Voters,,,,651,,,,,
Sussex,"Lafayette Twp, District 3",Ballots Cast,,,,476,125,291,55,4,1
Sussex,"Lafayette Twp, District 3",President,,DEM,Kamala D. Harris,171,,,,,
Sussex,"Lafayette Twp, District 3",President,,REP,Donald J. Trump,291,,,,,
Sussex,"Lafayette Twp, District 3",President,,CST,Randall A. Terry,0,,,,,
Sussex,"Lafayette Twp, District 3",President,,IND,Robert F. Kennedy Jr.,2,,,,,
Sussex,"Lafayette Twp, District 3",President,,LIB,Chase Oliver,3,,,,,
Sussex,"Lafayette Twp, District 3",President,,GRN,Jill Stein,2,,,,,
Sussex,"Lafayette Twp, District 3",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Lafayette Twp, District 3",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Lafayette Twp, District 3",President,,,Joseph Kishore,0,,,,,
Sussex,"Lafayette Twp, District 3",President,,,Write-In Totals,5,,,,,
Sussex,"Lafayette Twp, District 3",U.S. Senate,,DEM,Andy Kim,163,,,,,
Sussex,"Lafayette Twp, District 3",U.S. Senate,,REP,Curtis Bashaw,283,,,,,
Sussex,"Lafayette Twp, District 3",U.S. Senate,,SWP,Joanne Kuniansky,2,,,,,
Sussex,"Lafayette Twp, District 3",U.S. Senate,,GRN,Christina Khalil,3,,,,,
Sussex,"Lafayette Twp, District 3",U.S. Senate,,,Patricia G. Mooneyham,0,,,,,
Sussex,"Lafayette Twp, District 3",U.S. Senate,,LIB,Kenneth R. Kaplan,4,,,,,
Sussex,"Lafayette Twp, District 3",U.S. Senate,,,Write-In Totals,5,,,,,
Sussex,"Lafayette Twp, District 3",U.S.House,5,DEM,Josh Gottheimer,178,,,,,
Sussex,"Lafayette Twp, District 3",U.S.House,5,REP,Mary Jo Guinchard,264,,,,,
Sussex,"Lafayette Twp, District 3",U.S.House,5,GRN,Beau Forte,5,,,,,
Sussex,"Lafayette Twp, District 3",U.S.House,5,LIB,James Tosone,6,,,,,
Sussex,"Lafayette Twp, District 3",U.S.House,5,,Aamir Arif,5,,,,,
Sussex,"Lafayette Twp, District 3",U.S.House,5,,Write-In Totals,1,,,,,
Sussex,"Lafayette Twp, District 3",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,147,,,,,
Sussex,"Lafayette Twp, District 3",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Lafayette Twp, District 3",COUNTY COMMISSIONER,,REP,Christopher Carney,268,,,,,
Sussex,"Lafayette Twp, District 3",COUNTY COMMISSIONER,,REP,Alan Henderson,221,,,,,
Sussex,"Lafayette Twp, District 3",COUNTY COMMISSIONER,,,Write-In Totals,3,,,,,
Sussex,"Lafayette Twp, District 3",TOWNSHIP COMMITTEE Lafayette Township,,,No Nomination Made,0,,,,,
Sussex,"Lafayette Twp, District 3",TOWNSHIP COMMITTEE Lafayette Township,,REP,Kevin K. O'Leary,373,,,,,
Sussex,"Lafayette Twp, District 3",TOWNSHIP COMMITTEE Lafayette Township,,,Write-In Totals,10,,,,,
Sussex,"Lafayette Twp, District 3",MEMBERSHIP TO BOE - High Point Rgnl - Lafayette Twp,,,No Petition Filed,0,,,,,
Sussex,"Lafayette Twp, District 3",MEMBERSHIP TO BOE - High Point Rgnl - Lafayette Twp,,,Write-In Totals,21,,,,,
Sussex,"Lafayette Twp, District 3",MEMBERSHIP TO BOE - Lafayette Twp 3 YR,,,Andrew M. DeKorte,294,,,,,
Sussex,"Lafayette Twp, District 3",MEMBERSHIP TO BOE - Lafayette Twp 3 YR,,,Glenn B. Hawkswell,281,,,,,
Sussex,"Lafayette Twp, District 3",MEMBERSHIP TO BOE - Lafayette Twp 3 YR,,,Write-In Totals,7,,,,,
Sussex,"Lafayette Twp, District 3",MEMBERSHIP TO BOE - Lafayette Twp 2 YR,,,Suzanne Ross,325,,,,,
Sussex,"Lafayette Twp, District 3",MEMBERSHIP TO BOE - Lafayette Twp 2 YR,,,Write-In Totals,6,,,,,
Sussex,"Montague Twp, District 1",Registered Voters,,,,972,,,,,
Sussex,"Montague Twp, District 1",Ballots Cast,,,,677,107,461,104,3,2
Sussex,"Montague Twp, District 1",President,,DEM,Kamala D. Harris,186,,,,,
Sussex,"Montague Twp, District 1",President,,REP,Donald J. Trump,472,,,,,
Sussex,"Montague Twp, District 1",President,,CST,Randall A. Terry,1,,,,,
Sussex,"Montague Twp, District 1",President,,IND,Robert F. Kennedy Jr.,10,,,,,
Sussex,"Montague Twp, District 1",President,,LIB,Chase Oliver,1,,,,,
Sussex,"Montague Twp, District 1",President,,GRN,Jill Stein,3,,,,,
Sussex,"Montague Twp, District 1",President,,,Claudia De la Cruz,1,,,,,
Sussex,"Montague Twp, District 1",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Montague Twp, District 1",President,,,Joseph Kishore,0,,,,,
Sussex,"Montague Twp, District 1",President,,,Write-In Totals,0,,,,,
Sussex,"Montague Twp, District 1",U.S. Senate,,DEM,Andy Kim,171,,,,,
Sussex,"Montague Twp, District 1",U.S. Senate,,REP,Curtis Bashaw,456,,,,,
Sussex,"Montague Twp, District 1",U.S. Senate,,SWP,Joanne Kuniansky,3,,,,,
Sussex,"Montague Twp, District 1",U.S. Senate,,GRN,Christina Khalil,12,,,,,
Sussex,"Montague Twp, District 1",U.S. Senate,,,Patricia G. Mooneyham,5,,,,,
Sussex,"Montague Twp, District 1",U.S. Senate,,LIB,Kenneth R. Kaplan,4,,,,,
Sussex,"Montague Twp, District 1",U.S. Senate,,,Write-In Totals,1,,,,,
Sussex,"Montague Twp, District 1",U.S.House,5,DEM,Josh Gottheimer,205,,,,,
Sussex,"Montague Twp, District 1",U.S.House,5,REP,Mary Jo Guinchard,436,,,,,
Sussex,"Montague Twp, District 1",U.S.House,5,GRN,Beau Forte,7,,,,,
Sussex,"Montague Twp, District 1",U.S.House,5,LIB,James Tosone,4,,,,,
Sussex,"Montague Twp, District 1",U.S.House,5,,Aamir Arif,7,,,,,
Sussex,"Montague Twp, District 1",U.S.House,5,,Write-In Totals,0,,,,,
Sussex,"Montague Twp, District 1",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,174,,,,,
Sussex,"Montague Twp, District 1",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Montague Twp, District 1",COUNTY COMMISSIONER,,REP,Christopher Carney,447,,,,,
Sussex,"Montague Twp, District 1",COUNTY COMMISSIONER,,REP,Alan Henderson,361,,,,,
Sussex,"Montague Twp, District 1",COUNTY COMMISSIONER,,,Write-In Totals,5,,,,,
Sussex,"Montague Twp, District 1",TOWNSHIP COMMITTEE Montague Township,,,No Nomination Made,0,,,,,
Sussex,"Montague Twp, District 1",TOWNSHIP COMMITTEE Montague Township,,,No Nomination Made,0,,,,,
Sussex,"Montague Twp, District 1",TOWNSHIP COMMITTEE Montague Township,,REP,James LeDonne,456,,,,,
Sussex,"Montague Twp, District 1",TOWNSHIP COMMITTEE Montague Township,,REP,Barbara Holstein,366,,,,,
Sussex,"Montague Twp, District 1",TOWNSHIP COMMITTEE Montague Township,,,Write-In Totals,152,,,,,
Sussex,"Montague Twp, District 1",MEMBERSHIP TO BOE - Montague Twp,,,Christopher Bell,382,,,,,
Sussex,"Montague Twp, District 1",MEMBERSHIP TO BOE - Montague Twp,,,Caitlin Statkus,287,,,,,
Sussex,"Montague Twp, District 1",MEMBERSHIP TO BOE - Montague Twp,,,Lisa D'Amore,280,,,,,
Sussex,"Montague Twp, District 1",MEMBERSHIP TO BOE - Montague Twp,,,Write-In Totals,13,,,,,
Sussex,"Montague Twp, District 2",Registered Voters,,,,820,,,,,
Sussex,"Montague Twp, District 2",Ballots Cast,,,,550,113,368,65,4,0
Sussex,"Montague Twp, District 2",President,,DEM,Kamala D. Harris,128,,,,,
Sussex,"Montague Twp, District 2",President,,REP,Donald J. Trump,417,,,,,
Sussex,"Montague Twp, District 2",President,,CST,Randall A. Terry,0,,,,,
Sussex,"Montague Twp, District 2",President,,IND,Robert F. Kennedy Jr.,2,,,,,
Sussex,"Montague Twp, District 2",President,,LIB,Chase Oliver,0,,,,,
Sussex,"Montague Twp, District 2",President,,GRN,Jill Stein,1,,,,,
Sussex,"Montague Twp, District 2",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Montague Twp, District 2",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Montague Twp, District 2",President,,,Joseph Kishore,0,,,,,
Sussex,"Montague Twp, District 2",President,,,Write-In Totals,0,,,,,
