county,precinct,office,district,candidate,party,votes,election_day,mail,early_voting,provisional,emergency,federal
Gloucester,Pitman Borough - District 6,U.S. Senate,,CURTIS BASHAW,,335,,,,,,
Gloucester,Pitman Borough - District 6,U.S. Senate,,ANDY KIM,,378,,,,,,
Gloucester,Pitman Borough - District 6,U.S. Senate,,JOANNE KUNIANSKY,,2,,,,,,
Gloucester,Pitman Borough - District 6,U.S. Senate,,CHRISTINA KHALIL,,2,,,,,,
Gloucester,Pitman Borough - District 6,U.S. Senate,,KENNETH R. KAPLAN,,7,,,,,,
Gloucester,Pitman Borough - District 6,U.S. Senate,,PATRICIA G. MOONEYHAM,,1,,,,,,
Gloucester,Pitman Borough - District 6,U.S. Senate,,Write-ins,,0,,,,,,
Gloucester,Pitman Borough - District 6,U.S. House,1,"THEODORE ""TEDDY"" LIDDELL",,360,,,,,,
Gloucester,Pitman Borough - District 6,U.S. House,1,DONALD NORCROSS,,346,,,,,,
Gloucester,Pitman Borough - District 6,U.S. House,1,ROBIN BROWNFIELD,,8,,,,,,
Gloucester,Pitman Borough - District 6,U.S. House,1,AUSTIN JOHNSON,,1,,,,,,
Gloucester,Pitman Borough - District 6,U.S. House,1,Write-ins,,1,,,,,,
Gloucester,Pitman Borough - District 6,SHERIFF,,JONATHAN M. SAMMONS,,352,,,,,,
Gloucester,Pitman Borough - District 6,SHERIFF,,CARMEL MORINA,,365,,,,,,
Gloucester,Pitman Borough - District 6,SHERIFF,,Write-ins,,1,,,,,,
Gloucester,Pitman Borough - District 6,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,354,,,,,,
Gloucester,Pitman Borough - District 6,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,345,,,,,,
Gloucester,Pitman Borough - District 6,COUNTY COMMISSIONER,,TOM BIANCO,,375,,,,,,
Gloucester,Pitman Borough - District 6,COUNTY COMMISSIONER,,DON HEVERLY,,358,,,,,,
Gloucester,Pitman Borough - District 6,COUNTY COMMISSIONER,,Write-ins,,1,,,,,,
Gloucester,Pitman Borough - District 6,COUNCIL - BOROUGH OF PITMAN,,PAUL BIALLY,,376,,,,,,
Gloucester,Pitman Borough - District 6,COUNCIL - BOROUGH OF PITMAN,,SARAH MUSTO,,392,,,,,,
Gloucester,Pitman Borough - District 6,COUNCIL - BOROUGH OF PITMAN,,DEBRA GUARNI,,348,,,,,,
Gloucester,Pitman Borough - District 6,COUNCIL - BOROUGH OF PITMAN,,CHRISTOPHER MOROZIN,,330,,,,,,
Gloucester,Pitman Borough - District 6,COUNCIL - BOROUGH OF PITMAN,,Write-ins,,0,,,,,,
Gloucester,Pitman Borough - District 6,BOARD OF EDUCATION - PITMAN - 3YR TERM,,REBECCA HIGBEE IONNO,,447,,,,,,
Gloucester,Pitman Borough - District 6,BOARD OF EDUCATION - PITMAN - 3YR TERM,,DAVID J. GROSSMAN,,407,,,,,,
Gloucester,Pitman Borough - District 6,BOARD OF EDUCATION - PITMAN - 3YR TERM,,Write-ins,,43,,,,,,
Gloucester,Pitman Borough - District 7,Registered Voters,,,,1043,,,,,,
Gloucester,Pitman Borough - District 7,Ballots Cast,,,,830,490,174,154,12,0,0
Gloucester,Pitman Borough - District 7,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Pitman Borough - District 7,President,,DONALD J. TRUMP,,378,,,,,,
Gloucester,Pitman Borough - District 7,President,,KAMALA D. HARRIS,,428,,,,,,
Gloucester,Pitman Borough - District 7,President,,ROBERT F. KENNEDY JR.,,12,,,,,,
Gloucester,Pitman Borough - District 7,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Pitman Borough - District 7,President,,RANDALL A. TERRY,,1,,,,,,
Gloucester,Pitman Borough - District 7,President,,JOSEPH KISHORE,,1,,,,,,
Gloucester,Pitman Borough - District 7,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Pitman Borough - District 7,President,,JILL STEIN,,1,,,,,,
Gloucester,Pitman Borough - District 7,President,,CHASE OLIVER,,2,,,,,,
Gloucester,Pitman Borough - District 7,President,,Write-ins,,3,,,,,,
Gloucester,Pitman Borough - District 7,U.S. Senate,,CURTIS BASHAW,,358,,,,,,
Gloucester,Pitman Borough - District 7,U.S. Senate,,ANDY KIM,,435,,,,,,
Gloucester,Pitman Borough - District 7,U.S. Senate,,JOANNE KUNIANSKY,,5,,,,,,
Gloucester,Pitman Borough - District 7,U.S. Senate,,CHRISTINA KHALIL,,7,,,,,,
Gloucester,Pitman Borough - District 7,U.S. Senate,,KENNETH R. KAPLAN,,3,,,,,,
Gloucester,Pitman Borough - District 7,U.S. Senate,,PATRICIA G. MOONEYHAM,,1,,,,,,
Gloucester,Pitman Borough - District 7,U.S. Senate,,Write-ins,,1,,,,,,
Gloucester,Pitman Borough - District 7,U.S. House,1,"THEODORE ""TEDDY"" LIDDELL",,369,,,,,,
Gloucester,Pitman Borough - District 7,U.S. House,1,DONALD NORCROSS,,414,,,,,,
Gloucester,Pitman Borough - District 7,U.S. House,1,ROBIN BROWNFIELD,,15,,,,,,
Gloucester,Pitman Borough - District 7,U.S. House,1,AUSTIN JOHNSON,,1,,,,,,
Gloucester,Pitman Borough - District 7,U.S. House,1,Write-ins,,3,,,,,,
Gloucester,Pitman Borough - District 7,SHERIFF,,JONATHAN M. SAMMONS,,369,,,,,,
Gloucester,Pitman Borough - District 7,SHERIFF,,CARMEL MORINA,,438,,,,,,
Gloucester,Pitman Borough - District 7,SHERIFF,,Write-ins,,2,,,,,,
Gloucester,Pitman Borough - District 7,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,379,,,,,,
Gloucester,Pitman Borough - District 7,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,370,,,,,,
Gloucester,Pitman Borough - District 7,COUNTY COMMISSIONER,,TOM BIANCO,,436,,,,,,
Gloucester,Pitman Borough - District 7,COUNTY COMMISSIONER,,DON HEVERLY,,422,,,,,,
Gloucester,Pitman Borough - District 7,COUNTY COMMISSIONER,,Write-ins,,2,,,,,,
Gloucester,Pitman Borough - District 7,COUNCIL - BOROUGH OF PITMAN,,PAUL BIALLY,,403,,,,,,
Gloucester,Pitman Borough - District 7,COUNCIL - BOROUGH OF PITMAN,,SARAH MUSTO,,407,,,,,,
Gloucester,Pitman Borough - District 7,COUNCIL - BOROUGH OF PITMAN,,DEBRA GUARNI,,407,,,,,,
Gloucester,Pitman Borough - District 7,COUNCIL - BOROUGH OF PITMAN,,CHRISTOPHER MOROZIN,,392,,,,,,
Gloucester,Pitman Borough - District 7,COUNCIL - BOROUGH OF PITMAN,,Write-ins,,3,,,,,,
Gloucester,Pitman Borough - District 7,BOARD OF EDUCATION - PITMAN - 3YR TERM,,REBECCA HIGBEE IONNO,,547,,,,,,
Gloucester,Pitman Borough - District 7,BOARD OF EDUCATION - PITMAN - 3YR TERM,,DAVID J. GROSSMAN,,469,,,,,,
Gloucester,Pitman Borough - District 7,BOARD OF EDUCATION - PITMAN - 3YR TERM,,Write-ins,,43,,,,,,
Gloucester,South Harrison Township - District 1,Registered Voters,,,,947,,,,,,
Gloucester,South Harrison Township - District 1,Ballots Cast,,,,724,450,128,135,11,0,0
Gloucester,South Harrison Township - District 1,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,South Harrison Township - District 1,President,,DONALD J. TRUMP,,433,,,,,,
Gloucester,South Harrison Township - District 1,President,,KAMALA D. HARRIS,,273,,,,,,
Gloucester,South Harrison Township - District 1,President,,ROBERT F. KENNEDY JR.,,3,,,,,,
Gloucester,South Harrison Township - District 1,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,South Harrison Township - District 1,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,South Harrison Township - District 1,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,South Harrison Township - District 1,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,South Harrison Township - District 1,President,,JILL STEIN,,3,,,,,,
Gloucester,South Harrison Township - District 1,President,,CHASE OLIVER,,4,,,,,,
Gloucester,South Harrison Township - District 1,President,,Write-ins,,3,,,,,,
Gloucester,South Harrison Township - District 1,U.S. Senate,,CURTIS BASHAW,,424,,,,,,
Gloucester,South Harrison Township - District 1,U.S. Senate,,ANDY KIM,,271,,,,,,
Gloucester,South Harrison Township - District 1,U.S. Senate,,JOANNE KUNIANSKY,,0,,,,,,
Gloucester,South Harrison Township - District 1,U.S. Senate,,CHRISTINA KHALIL,,5,,,,,,
Gloucester,South Harrison Township - District 1,U.S. Senate,,KENNETH R. KAPLAN,,2,,,,,,
Gloucester,South Harrison Township - District 1,U.S. Senate,,PATRICIA G. MOONEYHAM,,0,,,,,,
Gloucester,South Harrison Township - District 1,U.S. Senate,,Write-ins,,1,,,,,,
Gloucester,South Harrison Township - District 1,U.S. House,2,JEFF VAN DREW,,435,,,,,,
Gloucester,South Harrison Township - District 1,U.S. House,2,JOSEPH F. SALERNO,,263,,,,,,
Gloucester,South Harrison Township - District 1,U.S. House,2,THOMAS CANNAVO,,6,,,,,,
Gloucester,South Harrison Township - District 1,U.S. House,2,Write-ins,,0,,,,,,
Gloucester,South Harrison Township - District 1,SHERIFF,,JONATHAN M. SAMMONS,,431,,,,,,
Gloucester,South Harrison Township - District 1,SHERIFF,,CARMEL MORINA,,270,,,,,,
Gloucester,South Harrison Township - District 1,SHERIFF,,Write-ins,,0,,,,,,
Gloucester,South Harrison Township - District 1,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,428,,,,,,
Gloucester,South Harrison Township - District 1,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,430,,,,,,
Gloucester,South Harrison Township - District 1,COUNTY COMMISSIONER,,TOM BIANCO,,265,,,,,,
Gloucester,South Harrison Township - District 1,COUNTY COMMISSIONER,,DON HEVERLY,,264,,,,,,
Gloucester,South Harrison Township - District 1,COUNTY COMMISSIONER,,Write-ins,,0,,,,,,
Gloucester,South Harrison Township - District 1,TOWNSHIP COMMITTEE - SOUTH HARRISON TOWNSHIP,,JOSEPH M. MARINO,,329,,,,,,
Gloucester,South Harrison Township - District 1,TOWNSHIP COMMITTEE - SOUTH HARRISON TOWNSHIP,,JOHN K. HORNER,,350,,,,,,
Gloucester,South Harrison Township - District 1,TOWNSHIP COMMITTEE - SOUTH HARRISON TOWNSHIP,,CARMEN A. MALIGNAGGI,,357,,,,,,
Gloucester,South Harrison Township - District 1,TOWNSHIP COMMITTEE - SOUTH HARRISON TOWNSHIP,,BARBARA L. SPARKS,,354,,,,,,
Gloucester,South Harrison Township - District 1,TOWNSHIP COMMITTEE - SOUTH HARRISON TOWNSHIP,,Write-ins,,1,,,,,,
Gloucester,South Harrison Township - District 1,BOARD OF EDUCATION - SOUTH HARRISON - 3YR TERM,,JOSEPH TALBOT,,220,,,,,,
Gloucester,South Harrison Township - District 1,BOARD OF EDUCATION - SOUTH HARRISON - 3YR TERM,,JENNIFER MCILVAINE,,399,,,,,,
Gloucester,South Harrison Township - District 1,BOARD OF EDUCATION - SOUTH HARRISON - 3YR TERM,,DANA CARFARO,,326,,,,,,
Gloucester,South Harrison Township - District 1,BOARD OF EDUCATION - SOUTH HARRISON - 3YR TERM,,HOWARD R. MATTSON,,310,,,,,,
Gloucester,South Harrison Township - District 1,BOARD OF EDUCATION - SOUTH HARRISON - 3YR TERM,,Write-ins,,5,,,,,,
Gloucester,South Harrison Township - District 2,Registered Voters,,,,992,,,,,,
Gloucester,South Harrison Township - District 2,Ballots Cast,,,,763,455,133,161,14,0,0
Gloucester,South Harrison Township - District 2,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,South Harrison Township - District 2,President,,DONALD J. TRUMP,,494,,,,,,
Gloucester,South Harrison Township - District 2,President,,KAMALA D. HARRIS,,256,,,,,,
Gloucester,South Harrison Township - District 2,President,,ROBERT F. KENNEDY JR.,,3,,,,,,
Gloucester,South Harrison Township - District 2,President,,RACHELE FRUIT,,2,,,,,,
Gloucester,South Harrison Township - District 2,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,South Harrison Township - District 2,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,South Harrison Township - District 2,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,South Harrison Township - District 2,President,,JILL STEIN,,0,,,,,,
Gloucester,South Harrison Township - District 2,President,,CHASE OLIVER,,0,,,,,,
Gloucester,South Harrison Township - District 2,President,,Write-ins,,4,,,,,,
Gloucester,South Harrison Township - District 2,U.S. Senate,,CURTIS BASHAW,,470,,,,,,
Gloucester,South Harrison Township - District 2,U.S. Senate,,ANDY KIM,,264,,,,,,
Gloucester,South Harrison Township - District 2,U.S. Senate,,JOANNE KUNIANSKY,,0,,,,,,
Gloucester,South Harrison Township - District 2,U.S. Senate,,CHRISTINA KHALIL,,2,,,,,,
Gloucester,South Harrison Township - District 2,U.S. Senate,,KENNETH R. KAPLAN,,2,,,,,,
Gloucester,South Harrison Township - District 2,U.S. Senate,,PATRICIA G. MOONEYHAM,,0,,,,,,
Gloucester,South Harrison Township - District 2,U.S. Senate,,Write-ins,,0,,,,,,
Gloucester,South Harrison Township - District 2,U.S. House,2,JEFF VAN DREW,,488,,,,,,
Gloucester,South Harrison Township - District 2,U.S. House,2,JOSEPH F. SALERNO,,249,,,,,,
Gloucester,South Harrison Township - District 2,U.S. House,2,THOMAS CANNAVO,,5,,,,,,
Gloucester,South Harrison Township - District 2,U.S. House,2,Write-ins,,1,,,,,,
Gloucester,South Harrison Township - District 2,SHERIFF,,JONATHAN M. SAMMONS,,473,,,,,,
Gloucester,South Harrison Township - District 2,SHERIFF,,CARMEL MORINA,,261,,,,,,
Gloucester,South Harrison Township - District 2,SHERIFF,,Write-ins,,0,,,,,,
Gloucester,South Harrison Township - District 2,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,492,,,,,,
Gloucester,South Harrison Township - District 2,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,483,,,,,,
Gloucester,South Harrison Township - District 2,COUNTY COMMISSIONER,,TOM BIANCO,,242,,,,,,
Gloucester,South Harrison Township - District 2,COUNTY COMMISSIONER,,DON HEVERLY,,241,,,,,,
Gloucester,South Harrison Township - District 2,COUNTY COMMISSIONER,,Write-ins,,1,,,,,,
Gloucester,South Harrison Township - District 2,TOWNSHIP COMMITTEE - SOUTH HARRISON TOWNSHIP,,JOSEPH M. MARINO,,383,,,,,,
Gloucester,South Harrison Township - District 2,TOWNSHIP COMMITTEE - SOUTH HARRISON TOWNSHIP,,JOHN K. HORNER,,408,,,,,,
Gloucester,South Harrison Township - District 2,TOWNSHIP COMMITTEE - SOUTH HARRISON TOWNSHIP,,CARMEN A. MALIGNAGGI,,336,,,,,,
Gloucester,South Harrison Township - District 2,TOWNSHIP COMMITTEE - SOUTH HARRISON TOWNSHIP,,BARBARA L. SPARKS,,338,,,,,,
Gloucester,South Harrison Township - District 2,TOWNSHIP COMMITTEE - SOUTH HARRISON TOWNSHIP,,Write-ins,,1,,,,,,
Gloucester,South Harrison Township - District 2,BOARD OF EDUCATION - SOUTH HARRISON - 3YR TERM,,JOSEPH TALBOT,,252,,,,,,
Gloucester,South Harrison Township - District 2,BOARD OF EDUCATION - SOUTH HARRISON - 3YR TERM,,JENNIFER MCILVAINE,,374,,,,,,
Gloucester,South Harrison Township - District 2,BOARD OF EDUCATION - SOUTH HARRISON - 3YR TERM,,DANA CARFARO,,353,,,,,,
Gloucester,South Harrison Township - District 2,BOARD OF EDUCATION - SOUTH HARRISON - 3YR TERM,,HOWARD R. MATTSON,,321,,,,,,
Gloucester,South Harrison Township - District 2,BOARD OF EDUCATION - SOUTH HARRISON - 3YR TERM,,Write-ins,,21,,,,,,
Gloucester,South Harrison Township - District 3,Registered Voters,,,,809,,,,,,
Gloucester,South Harrison Township - District 3,Ballots Cast,,,,613,362,128,115,8,0,0
Gloucester,South Harrison Township - District 3,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,South Harrison Township - District 3,President,,DONALD J. TRUMP,,351,,,,,,
Gloucester,South Harrison Township - District 3,President,,KAMALA D. HARRIS,,247,,,,,,
Gloucester,South Harrison Township - District 3,President,,ROBERT F. KENNEDY JR.,,2,,,,,,
Gloucester,South Harrison Township - District 3,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,South Harrison Township - District 3,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,South Harrison Township - District 3,President,,JOSEPH KISHORE,,1,,,,,,
Gloucester,South Harrison Township - District 3,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,South Harrison Township - District 3,President,,JILL STEIN,,0,,,,,,
Gloucester,South Harrison Township - District 3,President,,CHASE OLIVER,,4,,,,,,
Gloucester,South Harrison Township - District 3,President,,Write-ins,,4,,,,,,
Gloucester,South Harrison Township - District 3,U.S. Senate,,CURTIS BASHAW,,337,,,,,,
Gloucester,South Harrison Township - District 3,U.S. Senate,,ANDY KIM,,247,,,,,,
Gloucester,South Harrison Township - District 3,U.S. Senate,,JOANNE KUNIANSKY,,1,,,,,,
Gloucester,South Harrison Township - District 3,U.S. Senate,,CHRISTINA KHALIL,,3,,,,,,
Gloucester,South Harrison Township - District 3,U.S. Senate,,KENNETH R. KAPLAN,,2,,,,,,
Gloucester,South Harrison Township - District 3,U.S. Senate,,PATRICIA G. MOONEYHAM,,1,,,,,,
Gloucester,South Harrison Township - District 3,U.S. Senate,,Write-ins,,1,,,,,,
Gloucester,South Harrison Township - District 3,U.S. House,2,JEFF VAN DREW,,355,,,,,,
Gloucester,South Harrison Township - District 3,U.S. House,2,JOSEPH F. SALERNO,,245,,,,,,
Gloucester,South Harrison Township - District 3,U.S. House,2,THOMAS CANNAVO,,0,,,,,,
Gloucester,South Harrison Township - District 3,U.S. House,2,Write-ins,,0,,,,,,
Gloucester,South Harrison Township - District 3,SHERIFF,,JONATHAN M. SAMMONS,,357,,,,,,
Gloucester,South Harrison Township - District 3,SHERIFF,,CARMEL MORINA,,238,,,,,,
Gloucester,South Harrison Township - District 3,SHERIFF,,Write-ins,,0,,,,,,
Gloucester,South Harrison Township - District 3,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,358,,,,,,
Gloucester,South Harrison Township - District 3,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,353,,,,,,
Gloucester,South Harrison Township - District 3,COUNTY COMMISSIONER,,TOM BIANCO,,235,,,,,,
Gloucester,South Harrison Township - District 3,COUNTY COMMISSIONER,,DON HEVERLY,,230,,,,,,
Gloucester,South Harrison Township - District 3,COUNTY COMMISSIONER,,Write-ins,,0,,,,,,
Gloucester,South Harrison Township - District 3,TOWNSHIP COMMITTEE - SOUTH HARRISON TOWNSHIP,,JOSEPH M. MARINO,,323,,,,,,
Gloucester,South Harrison Township - District 3,TOWNSHIP COMMITTEE - SOUTH HARRISON TOWNSHIP,,JOHN K. HORNER,,323,,,,,,
Gloucester,South Harrison Township - District 3,TOWNSHIP COMMITTEE - SOUTH HARRISON TOWNSHIP,,CARMEN A. MALIGNAGGI,,275,,,,,,
Gloucester,South Harrison Township - District 3,TOWNSHIP COMMITTEE - SOUTH HARRISON TOWNSHIP,,BARBARA L. SPARKS,,262,,,,,,
Gloucester,South Harrison Township - District 3,TOWNSHIP COMMITTEE - SOUTH HARRISON TOWNSHIP,,Write-ins,,0,,,,,,
Gloucester,South Harrison Township - District 3,BOARD OF EDUCATION - SOUTH HARRISON - 3YR TERM,,JOSEPH TALBOT,,184,,,,,,
Gloucester,South Harrison Township - District 3,BOARD OF EDUCATION - SOUTH HARRISON - 3YR TERM,,JENNIFER MCILVAINE,,308,,,,,,
Gloucester,South Harrison Township - District 3,BOARD OF EDUCATION - SOUTH HARRISON - 3YR TERM,,DANA CARFARO,,270,,,,,,
Gloucester,South Harrison Township - District 3,BOARD OF EDUCATION - SOUTH HARRISON - 3YR TERM,,HOWARD R. MATTSON,,239,,,,,,
Gloucester,South Harrison Township - District 3,BOARD OF EDUCATION - SOUTH HARRISON - 3YR TERM,,Write-ins,,11,,,,,,
Gloucester,Swedesboro Borough - District 1,Registered Voters,,,,936,,,,,,
Gloucester,Swedesboro Borough - District 1,Ballots Cast,,,,644,385,104,147,8,0,0
Gloucester,Swedesboro Borough - District 1,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Swedesboro Borough - District 1,President,,DONALD J. TRUMP,,276,,,,,,
Gloucester,Swedesboro Borough - District 1,President,,KAMALA D. HARRIS,,351,,,,,,
Gloucester,Swedesboro Borough - District 1,President,,ROBERT F. KENNEDY JR.,,8,,,,,,
Gloucester,Swedesboro Borough - District 1,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Swedesboro Borough - District 1,President,,RANDALL A. TERRY,,3,,,,,,
Gloucester,Swedesboro Borough - District 1,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Swedesboro Borough - District 1,President,,CLAUDIA DE LA CRUZ,,1,,,,,,
Gloucester,Swedesboro Borough - District 1,President,,JILL STEIN,,2,,,,,,
Gloucester,Swedesboro Borough - District 1,President,,CHASE OLIVER,,2,,,,,,
Gloucester,Swedesboro Borough - District 1,President,,Write-ins,,0,,,,,,
Gloucester,Swedesboro Borough - District 1,U.S. Senate,,CURTIS BASHAW,,257,,,,,,
Gloucester,Swedesboro Borough - District 1,U.S. Senate,,ANDY KIM,,357,,,,,,
Gloucester,Swedesboro Borough - District 1,U.S. Senate,,JOANNE KUNIANSKY,,2,,,,,,
Gloucester,Swedesboro Borough - District 1,U.S. Senate,,CHRISTINA KHALIL,,1,,,,,,
Gloucester,Swedesboro Borough - District 1,U.S. Senate,,KENNETH R. KAPLAN,,5,,,,,,
Gloucester,Swedesboro Borough - District 1,U.S. Senate,,PATRICIA G. MOONEYHAM,,2,,,,,,
Gloucester,Swedesboro Borough - District 1,U.S. Senate,,Write-ins,,1,,,,,,
Gloucester,Swedesboro Borough - District 1,U.S. House,2,JEFF VAN DREW,,275,,,,,,
Gloucester,Swedesboro Borough - District 1,U.S. House,2,JOSEPH F. SALERNO,,347,,,,,,
Gloucester,Swedesboro Borough - District 1,U.S. House,2,THOMAS CANNAVO,,2,,,,,,
Gloucester,Swedesboro Borough - District 1,U.S. House,2,Write-ins,,0,,,,,,
Gloucester,Swedesboro Borough - District 1,SHERIFF,,JONATHAN M. SAMMONS,,264,,,,,,
Gloucester,Swedesboro Borough - District 1,SHERIFF,,CARMEL MORINA,,355,,,,,,
Gloucester,Swedesboro Borough - District 1,SHERIFF,,Write-ins,,2,,,,,,
Gloucester,Swedesboro Borough - District 1,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,286,,,,,,
Gloucester,Swedesboro Borough - District 1,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,274,,,,,,
Gloucester,Swedesboro Borough - District 1,COUNTY COMMISSIONER,,TOM BIANCO,,344,,,,,,
Gloucester,Swedesboro Borough - District 1,COUNTY COMMISSIONER,,DON HEVERLY,,336,,,,,,
Gloucester,Swedesboro Borough - District 1,COUNTY COMMISSIONER,,Write-ins,,2,,,,,,
Gloucester,Swedesboro Borough - District 1,COUNCIL - BOROUGH OF SWEDESBORO,,"SALVATORE ""SAM"" CASELLA",,370,,,,,,
Gloucester,Swedesboro Borough - District 1,COUNCIL - BOROUGH OF SWEDESBORO,,SHAUN BOOKER,,403,,,,,,
Gloucester,Swedesboro Borough - District 1,COUNCIL - BOROUGH OF SWEDESBORO,,Write-ins,,14,,,,,,
Gloucester,Swedesboro Borough - District 1,BOARD OF EDUCATION - SWEDESBORO-WOOLWICH - 3YR TERM,,LAURIE CECALA-READ,,337,,,,,,
Gloucester,Swedesboro Borough - District 1,BOARD OF EDUCATION - SWEDESBORO-WOOLWICH - 3YR TERM,,ERIN CARROLL,,337,,,,,,
Gloucester,Swedesboro Borough - District 1,BOARD OF EDUCATION - SWEDESBORO-WOOLWICH - 3YR TERM,,GINA M. AZZARI,,344,,,,,,
Gloucester,Swedesboro Borough - District 1,BOARD OF EDUCATION - SWEDESBORO-WOOLWICH - 3YR TERM,,Write-ins,,11,,,,,,
Gloucester,Swedesboro Borough - District 2,Registered Voters,,,,839,,,,,,
Gloucester,Swedesboro Borough - District 2,Ballots Cast,,,,556,372,62,114,8,0,0
Gloucester,Swedesboro Borough - District 2,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Swedesboro Borough - District 2,President,,DONALD J. TRUMP,,222,,,,,,
Gloucester,Swedesboro Borough - District 2,President,,KAMALA D. HARRIS,,312,,,,,,
Gloucester,Swedesboro Borough - District 2,President,,ROBERT F. KENNEDY JR.,,6,,,,,,
Gloucester,Swedesboro Borough - District 2,President,,RACHELE FRUIT,,1,,,,,,
Gloucester,Swedesboro Borough - District 2,President,,RANDALL A. TERRY,,2,,,,,,
Gloucester,Swedesboro Borough - District 2,President,,JOSEPH KISHORE,,1,,,,,,
Gloucester,Swedesboro Borough - District 2,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Swedesboro Borough - District 2,President,,JILL STEIN,,3,,,,,,
Gloucester,Swedesboro Borough - District 2,President,,CHASE OLIVER,,4,,,,,,
Gloucester,Swedesboro Borough - District 2,President,,Write-ins,,2,,,,,,
Gloucester,Swedesboro Borough - District 2,U.S. Senate,,CURTIS BASHAW,,206,,,,,,
Gloucester,Swedesboro Borough - District 2,U.S. Senate,,ANDY KIM,,308,,,,,,
Gloucester,Swedesboro Borough - District 2,U.S. Senate,,JOANNE KUNIANSKY,,2,,,,,,
Gloucester,Swedesboro Borough - District 2,U.S. Senate,,CHRISTINA KHALIL,,2,,,,,,
Gloucester,Swedesboro Borough - District 2,U.S. Senate,,KENNETH R. KAPLAN,,4,,,,,,
Gloucester,Swedesboro Borough - District 2,U.S. Senate,,PATRICIA G. MOONEYHAM,,4,,,,,,
Gloucester,Swedesboro Borough - District 2,U.S. Senate,,Write-ins,,1,,,,,,
Gloucester,Swedesboro Borough - District 2,U.S. House,2,JEFF VAN DREW,,223,,,,,,
Gloucester,Swedesboro Borough - District 2,U.S. House,2,JOSEPH F. SALERNO,,296,,,,,,
Gloucester,Swedesboro Borough - District 2,U.S. House,2,THOMAS CANNAVO,,5,,,,,,
Gloucester,Swedesboro Borough - District 2,U.S. House,2,Write-ins,,1,,,,,,
Gloucester,Swedesboro Borough - District 2,SHERIFF,,JONATHAN M. SAMMONS,,211,,,,,,
Gloucester,Swedesboro Borough - District 2,SHERIFF,,CARMEL MORINA,,311,,,,,,
Gloucester,Swedesboro Borough - District 2,SHERIFF,,Write-ins,,3,,,,,,
Gloucester,Swedesboro Borough - District 2,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,222,,,,,,
Gloucester,Swedesboro Borough - District 2,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,220,,,,,,
Gloucester,Swedesboro Borough - District 2,COUNTY COMMISSIONER,,TOM BIANCO,,301,,,,,,
Gloucester,Swedesboro Borough - District 2,COUNTY COMMISSIONER,,DON HEVERLY,,290,,,,,,
Gloucester,Swedesboro Borough - District 2,COUNTY COMMISSIONER,,Write-ins,,6,,,,,,
Gloucester,Swedesboro Borough - District 2,COUNCIL - BOROUGH OF SWEDESBORO,,"SALVATORE ""SAM"" CASELLA",,296,,,,,,
Gloucester,Swedesboro Borough - District 2,COUNCIL - BOROUGH OF SWEDESBORO,,SHAUN BOOKER,,348,,,,,,
Gloucester,Swedesboro Borough - District 2,COUNCIL - BOROUGH OF SWEDESBORO,,Write-ins,,11,,,,,,
Gloucester,Swedesboro Borough - District 2,BOARD OF EDUCATION - SWEDESBORO-WOOLWICH - 3YR TERM,,LAURIE CECALA-READ,,276,,,,,,
